,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,24,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,1,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,26,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:02:08,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,24,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,1,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:04:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,1,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:06:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,1,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:08:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,1,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:10:08,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,2,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:12:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,2,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:14:09,19,1,3,28,30,21,26,15,17,39,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,2,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:16:08,19,1,3,28,30,21,26,15,17,40,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,2,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
00:18:09,19,1,3,28,30,21,26,15,17,40,36,19,20,30,0,0,30,30,5,11,3,12,1,30,27,1,11,25,23,9,11,29,1,8,0,18,19,19,10,10,0,8,1,0,6,18,10,11,3,14,2,6,40,30,2,0,20,2,0,15,2,21,0,13,2,14,0,16,38,36,24,0,2,9,6,16,3,2,6,8,30,22,15,16,27,38,30,24,39,2,5,30,4,39,7,28,3,5,1,0,0
