Time,Weather,Temperature,Feels_Like,Wind_Speed
00:00:09,Light Rain,7,4,12
00:02:08,Light Rain,7,4,12
00:04:08,Light Rain,7,4,12
00:06:09,Light Rain,7,4,12
00:08:09,Light Rain,7,4,12
00:10:08,Light Rain,7,4,12
00:12:08,Light Rain,7,4,12
00:14:09,Light Rain,7,4,12
00:16:08,Light Rain,7,4,12
00:18:09,Light Rain,7,4,12
00:20:09,Light Rain,7,4,12
00:22:09,Light Rain,7,4,12
00:24:08,Light Rain,7,4,12
00:26:08,Light Rain,7,4,12
00:28:09,Light Rain,7,4,12
00:30:09,Light Rain,7,4,12
00:32:09,Light Rain,7,4,12
00:34:09,Light Rain,7,4,12
00:36:09,Light Rain,7,4,12
00:38:08,Light Rain,7,4,12
00:40:09,Light Rain,7,4,12
00:42:09,Light Rain,7,4,12
00:44:09,Light Rain,7,4,12
00:46:08,Light Rain,7,4,12
00:48:09,Light Rain,7,4,12
00:50:09,Light Rain,7,4,12
00:52:09,Light Rain,7,4,12
00:54:08,Light Rain,7,4,12
00:56:08,Light Rain,7,4,12
00:58:09,Light Rain,7,4,12
01:00:17,Light Rain,7,4,12
01:02:09,Light Rain,7,4,12
01:04:08,Light Rain,7,4,12
01:06:08,Light Rain,7,4,12
01:08:08,Light Rain,7,4,12
01:10:09,Light Rain,7,4,12
01:12:09,Light Rain,7,4,12
01:14:09,Mostly Cloudy,6,3,9
01:16:08,Mostly Cloudy,6,3,9
01:18:09,Mostly Cloudy,6,3,9
01:20:09,Mostly Cloudy,6,3,9
01:22:09,Mostly Cloudy,6,3,9
01:24:09,Mostly Cloudy,6,3,9
01:26:09,Mostly Cloudy,6,3,9
01:28:09,Mostly Cloudy,6,3,9
01:30:08,Mostly Cloudy,6,3,9
01:32:09,Mostly Cloudy,6,3,9
01:34:09,Mostly Cloudy,6,3,9
01:36:09,Mostly Cloudy,6,3,9
01:38:09,Mostly Cloudy,6,3,9
01:40:09,Mostly Cloudy,6,3,9
01:42:08,Mostly Cloudy,6,3,9
01:44:08,Mostly Cloudy,6,3,9
01:46:09,Mostly Cloudy,6,3,9
01:48:09,Mostly Cloudy,6,3,9
01:50:09,Mostly Cloudy,6,3,9
01:52:08,Mostly Cloudy,6,3,9
01:54:09,Mostly Cloudy,6,3,9
01:56:09,Mostly Cloudy,6,3,9
01:58:09,Mostly Cloudy,6,3,9
02:00:09,Mostly Cloudy,6,3,9
02:02:08,Mostly Cloudy,6,3,9
02:04:09,Mostly Cloudy,6,3,9
02:06:09,Mostly Cloudy,6,3,9
02:08:08,Mostly Cloudy,6,3,9
02:10:08,Mostly Cloudy,6,3,9
02:12:09,Mostly Cloudy,6,3,9
02:14:09,Light Rain,6,2,14
02:16:09,Light Rain,6,2,14
02:18:09,Light Rain,6,2,14
02:20:09,Light Rain,6,2,14
02:22:09,Light Rain,6,2,14
02:24:08,Light Rain,6,2,14
02:26:09,Light Rain,6,2,14
02:28:09,Light Rain,6,2,14
02:30:09,Light Rain,6,2,14
02:32:08,Light Rain,6,2,14
02:34:09,Light Rain,6,2,14
02:36:09,Light Rain,6,2,14
02:38:09,Light Rain,6,2,14
02:40:08,Light Rain,6,2,14
02:42:09,Light Rain,6,2,14
02:44:09,Light Rain,6,2,14
02:46:09,Light Rain,6,2,14
02:48:08,Light Rain,6,2,14
02:50:08,Light Rain,6,2,14
02:52:09,Light Rain,6,2,14
02:54:09,Light Rain,6,2,14
02:56:08,Light Rain,6,2,14
02:58:09,Light Rain,6,2,14
03:00:09,Light Rain,6,2,14
03:02:08,Light Rain,6,2,14
03:04:08,Light Rain,6,2,14
03:06:09,Light Rain,6,2,14
03:08:09,Mostly Cloudy,6,6,3
03:10:08,Mostly Cloudy,6,6,3
03:12:09,Mostly Cloudy,6,6,3
03:14:09,Mostly Cloudy,6,6,3
03:16:09,Mostly Cloudy,6,6,3
03:18:08,Mostly Cloudy,6,6,3
03:20:09,Mostly Cloudy,6,6,3
03:22:09,Mostly Cloudy,6,6,3
03:24:09,Mostly Cloudy,6,6,3
03:26:08,Mostly Cloudy,6,6,3
03:28:08,Mostly Cloudy,6,6,3
03:30:09,Mostly Cloudy,6,6,3
03:32:09,Mostly Cloudy,6,6,3
03:34:08,Mostly Cloudy,6,6,3
